"date","open_price","high","low","close","Keterangan"
"2018-12-28T00:00:00","705","710","690","690","Sell"
"2019-01-02T00:00:00","690","715","675","695","Buy"
"2019-01-03T00:00:00","700","725","695","725","Buy"
"2019-01-04T00:00:00","720","740","715","725","Buy"
"2019-01-07T00:00:00","730","775","725","750","Buy"
"2019-01-08T00:00:00","750","765","745","755","Buy"
"2019-01-09T00:00:00","755","765","740","755","Buy"
"2019-01-10T00:00:00","760","780","755","760","Buy"
"2019-01-11T00:00:00","775","780","750","760","Buy"
"2019-01-14T00:00:00","765","820","765","820","Buy"
"2019-01-15T00:00:00","825","835","810","835","Buy"
"2019-01-16T00:00:00","840","885","830","870","Buy"
"2019-01-17T00:00:00","870","890","845","865","Sell"
"2019-01-18T00:00:00","865","870","850","860","Sell"
"2019-01-21T00:00:00","870","890","825","825","Sell"
"2019-01-22T00:00:00","825","865","810","850","Buy"
"2019-01-23T00:00:00","850","880","845","875","Buy"
"2019-01-24T00:00:00","880","885","860","860","Sell"
"2019-01-25T00:00:00","865","890","850","890","Buy"
"2019-01-28T00:00:00","895","920","870","880","Sell"
"2019-01-29T00:00:00","880","880","835","840","Sell"
"2019-01-30T00:00:00","835","840","800","820","Sell"
"2019-01-31T00:00:00","820","850","820","845","Buy"
"2019-02-01T00:00:00","855","860","835","845","Buy"
"2019-02-04T00:00:00","845","855","815","830","Sell"
"2019-02-06T00:00:00","835","870","835","865","Buy"
"2019-02-07T00:00:00","870","880","855","860","Sell"
"2019-02-08T00:00:00","855","875","845","875","Buy"
"2019-02-11T00:00:00","875","885","850","850","Sell"
"2019-02-12T00:00:00","820","850","815","825","Sell"
"2019-02-13T00:00:00","830","840","820","825","Buy"
"2019-02-14T00:00:00","825","865","810","855","Buy"
"2019-02-15T00:00:00","860","925","860","910","Buy"
"2019-02-18T00:00:00","925","970","905","955","Buy"
"2019-02-19T00:00:00","965","985","935","940","Sell"
"2019-02-20T00:00:00","940","1005","935","995","Buy"
"2019-02-21T00:00:00","1000","1010","955","965","Sell"
"2019-02-22T00:00:00","965","965","940","945","Sell"
"2019-02-25T00:00:00","950","965","940","945","Buy"
"2019-02-26T00:00:00","940","955","905","945","Buy"
"2019-02-27T00:00:00","945","990","940","985","Buy"
"2019-02-28T00:00:00","990","990","930","935","Sell"
"2019-03-01T00:00:00","940","965","935","945","Buy"
"2019-03-04T00:00:00","930","950","910","910","Sell"
"2019-03-05T00:00:00","910","920","890","910","Buy"
"2019-03-06T00:00:00","910","910","870","895","Sell"
"2019-03-08T00:00:00","880","880","840","845","Sell"
"2019-03-11T00:00:00","845","850","815","825","Sell"
"2019-03-12T00:00:00","830","845","815","825","Buy"
"2019-03-13T00:00:00","825","845","815","825","Buy"
"2019-03-14T00:00:00","825","840","815","830","Buy"
"2019-03-15T00:00:00","835","875","835","865","Buy"
"2019-03-18T00:00:00","875","885","835","845","Sell"
